
AP@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
adrenal gland diseases                     | 0.010 +/- 0.010  | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.005 +/- 0.005  | 0.006 +/- 0.006  | 0.005 +/- 0.005  | 0.0000 +/- 0.0000 | 0.005 +/- 0.005 
alzheimer disease                          | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006 
amino acid metabolism inborn errors        | 0.002 +/- 0.002  | 0.025 +/- 0.008  | 0.06 +/- 0.02    | 0.07 +/- 0.02    | 0.07 +/- 0.01    | 0.06 +/- 0.02    | 0.07 +/- 0.01    | 0.10 +/- 0.01    | 0.002 +/- 0.002  | 0.043 +/- 0.005 
amyotrophic lateral sclerosis              | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
anemia aplastic                            | 0.009 +/- 0.009  | 0.02 +/- 0.02    | 0.07 +/- 0.07    | 0.009 +/- 0.009  | 0.008 +/- 0.008  | 0.005 +/- 0.005  | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.1 +/- 0.1      | 0.05 +/- 0.05   
anemia hemolytic                           | 0.017 +/- 0.007  | 0.003 +/- 0.003  | 0.030 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.04 +/- 0.03    | 0.07 +/- 0.05    | 0.07 +/- 0.04    | 0.12 +/- 0.09    | 0.033 +/- 0.008 
aneurysm                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
arrhythmias cardiac                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0159 +/- 0.0000 | 0.0136 +/- 0.0006 | 0.0136 +/- 0.0006 | 0.0120 +/- 0.0010 | 0.013 +/- 0.001  | 0.0136 +/- 0.0006 | 0.0000 +/- 0.0000 | 0.019 +/- 0.001 
arterial occlusive diseases                | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.002 +/- 0.002  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
arteriosclerosis                           | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.015 +/- 0.008  | 0.006 +/- 0.006  | 0.0000 +/- 0.0000
arthritis rheumatoid                       | 0.025 +/- 0.005  | 0.0000 +/- 0.0000 | 0.02 +/- 0.01    | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.0059 +/- 0.0003 | 0.0000 +/- 0.0000 | 0.03 +/- 0.02    | 0.03 +/- 0.02   
asthma                                     | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.011 +/- 0.005  | 0.002 +/- 0.002  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.004 +/- 0.004  | 0.01 +/- 0.01    | 0.04 +/- 0.01    | 0.0064 +/- 0.0005
basal ganglia diseases                     | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.008 +/- 0.008  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.006 +/- 0.006 
behcet syndrome                            | 0.04 +/- 0.02    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.039 +/- 0.002  | 0.052 +/- 0.004  | 0.036 +/- 0.006  | 0.037 +/- 0.004  | 0.061 +/- 0.006  | 0.029 +/- 0.001  | 0.01 +/- 0.01   
bile duct diseases                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.004 +/- 0.004  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.0000 +/- 0.0000 | 0.004 +/- 0.004  | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.006 +/- 0.006 
blood coagulation disorders                | 0.12 +/- 0.03    | 0.11 +/- 0.03    | 0.19 +/- 0.04    | 0.10 +/- 0.02    | 0.10 +/- 0.02    | 0.12 +/- 0.02    | 0.10 +/- 0.01    | 0.13 +/- 0.03    | 0.17 +/- 0.03    | 0.17 +/- 0.03   
blood platelet disorders                   | 0.08 +/- 0.08    | 0.004 +/- 0.004  | 0.12 +/- 0.05    | 0.08 +/- 0.08    | 0.09 +/- 0.08    | 0.11 +/- 0.06    | 0.12 +/- 0.05    | 0.15 +/- 0.02    | 0.1 +/- 0.1      | 0.10 +/- 0.06   
breast neoplasms                           | 0.016 +/- 0.004  | 0.0000 +/- 0.0000 | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.002 +/- 0.002  | 0.07 +/- 0.02    | 0.02 +/- 0.01   
carbohydrate metabolism inborn errors      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0046 +/- 0.0002 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003  | 0.03 +/- 0.03    | 0.005 +/- 0.005  | 0.0040 +/- 0.0000 | 0.007 +/- 0.002 
carcinoma renal cell                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cardiomyopathies                           | 0.004 +/- 0.004  | 0.0000 +/- 0.0000 | 0.008 +/- 0.008  | 0.003 +/- 0.003  | 0.005 +/- 0.005  | 0.002 +/- 0.002  | 0.002 +/- 0.002  | 0.010 +/- 0.006  | 0.003 +/- 0.003  | 0.008 +/- 0.008 
cardiomyopathy hypertrophic                | 0.0000 +/- 0.0000 | 0.03 +/- 0.02    | 0.05 +/- 0.03    | 0.03 +/- 0.01    | 0.05 +/- 0.02    | 0.01 +/- 0.01    | 0.018 +/- 0.007  | 0.06 +/- 0.05    | 0.0000 +/- 0.0000 | 0.06 +/- 0.04   
celiac disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cerebellar ataxia                          | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.004 +/- 0.004  | 0.006 +/- 0.006  | 0.02 +/- 0.01    | 0.03 +/- 0.02    | 0.02 +/- 0.01    | 0.0000 +/- 0.0000 | 0.01 +/- 0.01   
cerebrovascular disorders                  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
charcot-marie-tooth disease                | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.005 +/- 0.005  | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.009 +/- 0.009  | 0.007 +/- 0.007  | 0.008 +/- 0.008  | 0.0000 +/- 0.0000 | 0.003 +/- 0.003 
colitis ulcerative                         | 0.0000 +/- 0.0000 | 0.009 +/- 0.009  | 0.004 +/- 0.004  | 0.004 +/- 0.004  | 0.004 +/- 0.004  | 0.0050 +/- 0.0005 | 0.008 +/- 0.004  | 0.0048 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003 
colorectal neoplasms                       | 0.02 +/- 0.01    | 0.0000 +/- 0.0000 | 0.02 +/- 0.01    | 0.004 +/- 0.004  | 0.004 +/- 0.004  | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.007 +/- 0.007  | 0.014 +/- 0.008 
coronary artery disease                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.01 +/- 0.01    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
crohn disease                              | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0059 +/- 0.0006 | 0.010 +/- 0.002  | 0.010 +/- 0.002  | 0.0048 +/- 0.0006 | 0.007 +/- 0.002  | 0.0588 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.009 +/- 0.003 
death sudden                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
diabetes mellitus type 2                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.001 +/- 0.001  | 0.002 +/- 0.002  | 0.002 +/- 0.002  | 0.0000 +/- 0.0000 | 0.002 +/- 0.002  | 0.003 +/- 0.003  | 0.0000 +/- 0.0000 | 0.002 +/- 0.002 
dwarfism                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.007 +/- 0.007  | 0.007 +/- 0.007  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
esophageal diseases                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
exophthalmos                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
glomerulonephritis                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
gout                                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
graves disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
head and neck neoplasms                    | 0.004 +/- 0.004  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
hypothalamic diseases                      | 0.1 +/- 0.1      | 0.006 +/- 0.006  | 0.03 +/- 0.03    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.005 +/- 0.005  | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.1 +/- 0.1      | 0.04 +/- 0.04   
leukemia b-cell                            | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
leukemia myeloid                           | 0.027 +/- 0.004  | 0.0000 +/- 0.0000 | 0.0070 +/- 0.0005 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.027 +/- 0.004  | 0.0043 +/- 0.0005
lipid metabolism disorders                 | 0.011 +/- 0.003  | 0.02 +/- 0.02    | 0.011 +/- 0.004  | 0.0048 +/- 0.0001 | 0.0056 +/- 0.0004 | 0.0000 +/- 0.0000 | 0.0046 +/- 0.0003 | 0.003 +/- 0.003  | 0.008 +/- 0.004  | 0.0159 +/- 0.0009
liver cirrhosis                            | 0.005 +/- 0.005  | 0.011 +/- 0.003  | 0.049 +/- 0.007  | 0.0417 +/- 0.0000 | 0.049 +/- 0.007  | 0.037 +/- 0.004  | 0.037 +/- 0.004  | 0.1667 +/- 0.0000 | 0.04 +/- 0.04    | 0.0556 +/- 0.0000
liver cirrhosis biliary                    | 0.005 +/- 0.005  | 0.012 +/- 0.003  | 0.049 +/- 0.007  | 0.0417 +/- 0.0000 | 0.049 +/- 0.007  | 0.037 +/- 0.004  | 0.049 +/- 0.007  | 0.1667 +/- 0.0000 | 0.04 +/- 0.04    | 0.0556 +/- 0.0000
lung diseases obstructive                  | 0.05 +/- 0.05    | 0.01 +/- 0.01    | 0.0048 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0500 +/- 0.0000 | 0.0046 +/- 0.0002
lupus erythematosus                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
